epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,524.656,0.13226,4.20036,0.47124,0.12983,0.91101,0.99763,1,0.995,0.98388,0.84794,0.85,0.77084,0.27137,0.22017,3.60351,0.46897,0.20806,0.53529,0.0085348,0.0085348,0.0085348
76,531.637,0.13225,4.43654,0.47155,0.1286,0.90286,0.9985,1,0.995,0.97921,0.80621,0.83204,0.72846,0.24004,0.2369,3.76905,0.46964,0.19617,0.54151,0.008515,0.008515,0.008515
77,538.492,0.13133,4.29755,0.4705,0.12959,0.90023,0.99907,1,0.995,0.98492,0.84921,0.85,0.77395,0.25749,0.2277,3.79229,0.46397,0.17464,0.51599,0.0084952,0.0084952,0.0084952
78,545.444,0.13628,4.14703,0.47501,0.12841,0.91175,0.99902,1,0.995,0.98232,0.88273,0.88333,0.87134,0.32916,0.22198,3.51609,0.45988,0.19273,0.51285,0.0084754,0.0084754,0.0084754
79,552.346,0.12554,4.15992,0.47416,0.12545,0.88555,0.99905,1,0.995,0.98401,0.73265,0.73333,0.62668,0.23252,0.23676,4.1752,0.46337,0.19928,0.52895,0.0084556,0.0084556,0.0084556
80,559.247,0.13195,4.20603,0.47815,0.12426,0.8954,0.99912,1,0.995,0.96115,0.81593,0.81667,0.74399,0.28004,0.23587,3.99221,0.45765,0.23293,0.5623,0.0084358,0.0084358,0.0084358
81,566.147,0.13334,4.08904,0.47872,0.12696,0.8959,0.99913,1,0.995,0.97719,0.8992,0.9,0.88712,0.35844,0.2556,3.35407,0.45994,0.20699,0.56644,0.008416,0.008416,0.008416
82,573.093,0.13108,4.04292,0.46803,0.12535,0.89205,0.99909,1,0.995,0.98343,0.84923,0.85,0.80063,0.35335,0.24379,3.40552,0.45628,0.19581,0.55667,0.0083962,0.0083962,0.0083962
83,579.967,0.12694,4.17789,0.47361,0.12885,0.90941,0.9991,1,0.995,0.98111,0.85233,0.86577,0.82383,0.31719,0.2538,3.47881,0.4565,0.17867,0.57338,0.0083764,0.0083764,0.0083764
84,586.897,0.1204,3.92692,0.47027,0.1197,0.90481,0.99912,1,0.995,0.98736,0.88259,0.88333,0.84135,0.28697,0.23845,3.56285,0.45666,0.17096,0.53364,0.0083566,0.0083566,0.0083566
85,593.801,0.12447,3.9426,0.46852,0.12103,0.90599,0.99912,1,0.995,0.98447,0.81594,0.81667,0.75639,0.30521,0.23475,3.73944,0.4592,0.17417,0.52997,0.0083368,0.0083368,0.0083368
86,600.695,0.13966,3.8005,0.47555,0.12455,0.89957,0.99907,1,0.995,0.94897,0.73748,0.74913,0.66972,0.19887,0.38658,4.49003,0.46217,0.26684,0.75351,0.008317,0.008317,0.008317
87,607.594,0.14028,3.97337,0.46865,0.13524,0.91525,0.99904,1,0.995,0.91422,0.89917,0.9,0.90041,0.33007,0.43403,3.44777,0.44984,0.21079,0.75182,0.0082972,0.0082972,0.0082972
88,614.546,0.13221,3.96925,0.47299,0.1227,0.90348,0.99896,1,0.995,0.98598,0.79917,0.8,0.76328,0.31106,0.24968,4.14891,0.45992,0.19893,0.54844,0.0082774,0.0082774,0.0082774
89,621.429,0.12711,3.90108,0.47044,0.12655,0.89479,0.99719,1,0.995,0.9782,0.88085,0.88333,0.81885,0.28361,0.23163,3.59729,0.44929,0.20402,0.5473,0.0082576,0.0082576,0.0082576
