epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,285.09,0.13391,3.74094,0.45363,0.1385,0.91327,0.99727,1,0.995,0.995,0.79777,0.8,0.72511,0.29388,0.22896,3.64192,0.43773,0.36398,0.52348,0.0079408,0.0079408,0.0079408
106,287.777,0.13164,3.8286,0.45525,0.1361,0.90104,1,0.99902,0.995,0.99093,0.93121,0.91667,0.92681,0.36074,0.2283,3.34625,0.43919,0.37169,0.52839,0.007921,0.007921,0.007921
107,290.478,0.12312,3.82898,0.45264,0.12687,0.92427,1,0.9997,0.995,0.99363,0.81229,0.8,0.78391,0.3026,0.21993,3.70896,0.44652,0.34503,0.52976,0.0079012,0.0079012,0.0079012
108,293.108,0.13113,3.73219,0.45458,0.13669,0.90373,0.99909,1,0.995,0.99106,0.88278,0.88333,0.8597,0.30604,0.24014,3.55122,0.44232,0.30243,0.54541,0.0078814,0.0078814,0.0078814
109,295.723,0.13809,3.66873,0.45776,0.13659,0.9038,0.99909,1,0.995,0.98711,0.88295,0.88333,0.87604,0.36583,0.23924,3.17089,0.44052,0.30449,0.55171,0.0078616,0.0078616,0.0078616
110,298.367,0.13002,3.72027,0.45935,0.13587,0.90729,0.99908,1,0.995,0.98865,0.91582,0.91667,0.89795,0.3207,0.25816,3.29422,0.44198,0.28729,0.55762,0.0078418,0.0078418,0.0078418
111,301.221,0.13237,3.74005,0.46126,0.13994,0.90157,0.9964,1,0.995,0.99044,0.92997,0.93333,0.9063,0.3564,0.24428,3.24151,0.4408,0.28722,0.54755,0.007822,0.007822,0.007822
112,303.904,0.13858,3.63815,0.45722,0.14018,0.9122,0.99843,1,0.995,0.98429,0.89856,0.9,0.89255,0.35729,0.26409,3.18596,0.44284,0.27333,0.58329,0.0078022,0.0078022,0.0078022
113,306.542,0.12924,3.64242,0.4599,0.13633,0.91213,0.99908,1,0.995,0.99124,0.86587,0.86667,0.84051,0.38478,0.23698,3.31182,0.44317,0.24774,0.54974,0.0077824,0.0077824,0.0077824
114,309.265,0.12569,3.76527,0.46256,0.13104,0.89415,0.99897,1,0.995,0.98729,0.88241,0.88333,0.87692,0.32136,0.24535,3.39963,0.44202,0.24914,0.54293,0.0077626,0.0077626,0.0077626
115,311.908,0.12912,3.78621,0.46394,0.13615,0.89261,0.99905,1,0.995,0.98864,0.93244,0.93333,0.94254,0.43218,0.23687,3.04765,0.44511,0.28747,0.54255,0.0077428,0.0077428,0.0077428
116,314.7,0.12481,3.7132,0.4514,0.13423,0.89855,0.99911,1,0.995,0.99155,0.81594,0.81667,0.72634,0.26424,0.23065,3.45777,0.4422,0.31632,0.55513,0.007723,0.007723,0.007723
117,317.348,0.1291,3.62342,0.45815,0.12979,0.90255,0.99908,1,0.995,0.9912,0.89918,0.9,0.90508,0.33857,0.24727,3.31421,0.44705,0.29699,0.5701,0.0077032,0.0077032,0.0077032
118,320.041,0.1289,3.57784,0.45139,0.13273,0.90355,0.99831,1,0.995,0.99262,0.9484,0.95,0.94468,0.35881,0.22853,3.2318,0.44882,0.30911,0.55179,0.0076834,0.0076834,0.0076834
119,322.667,0.12656,3.45436,0.45152,0.13251,0.8987,0.9968,1,0.995,0.99017,0.94696,0.95,0.94924,0.39574,0.24398,3.12947,0.44742,0.28047,0.55163,0.0076636,0.0076636,0.0076636
120,325.358,0.13349,3.55215,0.45405,0.13928,0.8978,0.9986,1,0.995,0.995,0.86545,0.86667,0.82676,0.30234,0.23117,3.42189,0.44598,0.28248,0.5373,0.0076438,0.0076438,0.0076438
